Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-2098.763	-2251.598	152.8355	2.073579	5.049648	0.7137235	0.9428742
6	-2091.48	-2244.431	152.9511	2.076952	5.049648	0.539922	1.069077
12	-2091.328	-2244.277	152.9483	1.939552	5.049648	0.539922	1.194753
18	-2089.144	-2242.633	153.489	1.74193	5.049648	0.3500545	1.194753
24	-2097.269	-2250.493	153.2233	1.621286	3.830019	0.3608799	1.759615
30	-2093.09	-2246.123	153.0336	1.704124	4.769162	0.4209036	1.537254
36	-2108.251	-2260.85	152.5987	1.659983	4.25433	0.5280181	1.858083
42	-2113.922	-2267.207	153.2848	1.621077	4.051522	0.3190917	1.72674
48	-2095.17	-2248.217	153.0465	1.549596	4.051522	0.3398075	1.909123
54	-2094.925	-2247.01	152.0846	1.350858	5.164515	0.4618811	2.296308
60	-2100.649	-2252.39	151.7404	1.41253	4.195709	0.3626542	2.768866
66	-2102.999	-2255.589	152.5897	1.375884	4.195709	0.3009874	2.347394
72	-2103.899	-2255.377	151.4778	1.363341	4.386416	0.3223832	2.97308
78	-2105.852	-2256.916	151.0634	1.633202	4.808878	0.3552652	2.941037
84	-2101.3	-2252.618	151.3184	1.313982	4.110735	0.4094957	3.04415
90	-2107.145	-2258.072	150.9264	1.257265	5.126521	0.3555105	3.193696
96	-2097.415	-2248.445	151.0299	1.353882	5.502075	0.2295781	3.193696
102	-2103.347	-2252.841	149.4939	1.197515	5.3149	0.3562011	4.029868
108	-2107.769	-2257.301	149.5324	1.141574	5.380483	0.3562011	4.029868
114	-2101.209	-2250.488	149.2793	1.139392	5.380483	0.3176681	4.222532
120	-2106.063	-2255.743	149.6802	1.132977	5.469473	0.349689	3.944765
126	-2108.062	-2257.113	149.0513	1.12849	4.345623	0.349689	4.486302
132	-2104.733	-2253.795	149.0621	0.9540374	4.345623	0.4332259	4.486302
138	-2105.334	-2254.244	148.9105	0.9754386	4.345623	0.5087036	4.486302
144	-2096.247	-2246.834	150.5874	1.068782	4.846317	0.4355613	3.4588
150	-2097.655	-2248.436	150.7812	1.172737	4.050414	0.4573276	3.405849
156	-2099.458	-2249.387	149.929	1.407331	5.256481	0.4573276	3.556063
